timestamp,y_train_scaled
2025-06-01T06:00:00,0.0
2025-06-01T07:00:00,0.04411584883928299
2025-06-01T08:00:00,0.1540999561548233
2025-06-01T09:00:00,0.31296589970588684
2025-06-01T10:00:00,0.48405230045318604
2025-06-01T11:00:00,0.6429182291030884
2025-06-01T12:00:00,0.8017841577529907
2025-06-01T13:00:00,0.899547815322876
2025-06-01T14:00:00,0.9728705883026123
2025-06-01T15:00:00,1.0
2025-06-01T16:00:00,0.9606501460075378
2025-06-01T17:00:00,0.8628864884376526
2025-06-01T18:00:00,0.7284614443778992
2025-06-01T19:00:00,0.606256902217865
2025-06-01T20:00:00,0.4962727725505829
2025-06-01T21:00:00,0.39850911498069763
2025-06-01T22:00:00,0.31296589970588684
2025-06-01T23:00:00,0.25186362862586975
2025-06-02T00:00:00,0.20298178493976593
2025-06-02T01:00:00,0.16632041335105896
2025-06-02T02:00:00,0.11743859201669693
2025-06-02T03:00:00,0.08077722042798996
2025-06-02T04:00:00,0.04411584883928299
2025-06-02T05:00:00,0.007454478647559881
2025-06-02T06:00:00,0.019674936309456825
2025-06-02T07:00:00,0.03189539164304733
